CustomerID,Recency,Monetary,Frequency
12559,310,536.21,3
12560,5,2101.39,4
12561,302,238.85,1
12562,8,3781.74,7
12564,261,456.90,1
12565,281,131.17,2
12566,72,346.70,2
12567,22,9114.94,11
12569,2,4064.99,35
12571,39,519.61,2
12572,8,1004.72,3
12573,227,160.54,1
12574,315,218.45,1
12576,35,1306.98,6
12577,35,595.40,4
12578,21,2753.36,4
12579,73,410.72,3
12580,246,415.70,1
12581,39,197.71,1
12582,238,511.36,2
12583,2,7187.34,18
12584,3,1893.95,18
12585,234,1982.81,4
12586,17,179.94,2
12587,7,144.00,1
12588,39,214.90,1
12589,28,646.68,2
12590,190,9861.38,3
12591,317,452.85,1
12592,92,437.60,2
12593,108,418.10,3
12594,37,3320.22,11
12596,51,618.27,2
12597,19,3683.13,5
12598,9,3002.68,9
12599,29,1032.58,7
12600,28,2581.04,11
12601,189,569.56,6
12602,58,153.12,1
12603,21,739.20,1
12604,79,254.18,2
12605,365,-7.50,1
12607,58,0.00,2
12609,78,1126.85,3
12610,22,2057.99,7
12611,52,1193.32,1
12612,57,643.59,2
12613,31,3218.98,6
12614,277,315.60,1
12615,2,2291.19,4
12616,85,657.25,5
12617,29,355.53,1
12618,21,177.31,1
12619,16,3214.81,13
12620,14,1339.41,3
12621,1,13612.07,23
12622,232,180.10,1
12623,276,305.10,1
12624,106,641.13,2
12625,211,2614.32,3
12626,23,6388.35,13
12627,10,4478.53,7
12628,4,769.61,4
12630,9,1270.88,2
12631,57,640.50,1
12633,58,2140.63,5
12635,89,1689.18,2
12637,67,5953.25,10
12638,33,671.69,1
12639,238,486.10,1
12640,23,1174.58,3
12641,115,185.90,1
12642,25,1013.26,3
12643,128,3344.64,6
12644,129,477.91,1
12645,33,1755.38,5
12646,4,1346.97,2
12647,22,3669.92,13
12648,154,318.05,1
12649,107,603.71,4
12650,3,314.44,1
12651,334,114.00,1
12652,322,914.53,2
12653,148,2209.85,2
12654,10,601.98,5
12656,17,3982.72,8
12657,11,1152.06,5
12658,18,686.05,1
12659,29,91.68,1
12660,11,245.10,1
12662,0,3817.08,12
12664,8,4863.88,10
12665,324,61.75,2
12666,359,-227.44,1
12667,58,620.13,1
12668,7,3743.18,6
12669,150,1607.73,4
12670,10,2986.15,6
12672,329,225.90,1
12673,5,610.52,2
12674,11,1919.31,7
12676,24,1331.39,6
12678,42,17588.26,13
12679,52,1058.67,9
12680,0,862.81,4
12681,14,13677.59,27
12682,3,12288.22,31
12683,4,8221.09,20
12684,7,2283.63,7
12685,28,2863.08,6
12686,371,89.14,1
12688,113,4873.81,1
12689,25,1247.61,2
12690,205,389.01,1
12691,28,1035.80,6
12693,120,830.96,6
12694,70,869.67,2
12695,7,582.10,4
12697,21,939.02,5
12700,7,4867.99,6
12701,79,797.71,2
12702,19,219.00,1
12703,64,274.70,2
12704,7,2220.84,10
12705,15,6814.24,14
12707,291,603.42,1
12708,29,2616.32,16
12709,3,9294.10,26
12710,96,1130.57,4
12712,22,4241.63,17
12713,0,848.55,1
12714,9,4708.86,5
12715,106,353.86,1
12716,3,1053.49,2
12717,151,980.98,3
12718,71,238.25,1
12719,5,608.10,3
12720,2,5713.28,29
12721,31,2628.98,7
12722,85,904.33,6
12723,3,725.07,5
12724,5,1031.41,4
12725,371,427.80,1
12726,28,2609.10,7
12727,10,3947.70,9
12728,71,836.33,4
12729,113,453.01,1
12731,23,18793.41,14
12732,179,236.26,1
12733,234,383.95,1
12734,352,110.40,1
12735,315,779.57,2
12736,332,234.00,1
12738,372,155.35,1
12739,78,1013.04,2
12740,63,427.60,1
12743,134,546.43,2
12744,51,9120.39,10
12747,2,4196.01,11
12748,0,29072.10,224
12749,3,3868.20,8
12750,128,275.88,1
12752,81,4366.78,1
12753,3,21024.01,11
12754,235,2949.12,5
12755,249,2203.20,4
12756,86,112.08,1
12757,15,4227.70,19
12758,116,2791.59,2
12759,52,1531.44,3
12762,7,1898.52,2
12763,138,494.08,2
12764,316,1693.88,1
12766,3,6989.63,7
12769,238,1143.60,1
12770,210,1351.45,1
12772,59,892.47,1
12775,17,1351.24,6
12778,19,804.23,7
12779,21,3868.70,12
12781,21,707.72,5
12782,4,2273.32,6
12783,2,1603.87,8
12784,9,574.42,2
12785,2,305.71,2
12787,9,463.66,3
12789,65,91.85,1
12790,192,324.92,1
12791,373,192.60,1
12792,256,400.54,1
12793,334,545.48,2
12794,53,860.41,2
12795,18,430.48,1
12797,360,194.18,3
12798,10,6977.04,3
12802,183,412.58,2
12808,36,483.65,3
12809,168,484.36,2
12811,260,514.85,3
12812,44,229.64,1
12814,101,125.92,1
12815,147,1063.46,2
12816,95,572.20,2
12817,281,166.04,1
12818,178,1517.88,2
12820,3,942.34,4
12821,214,92.72,1
12822,70,918.98,3
12823,74,1759.50,5
12824,59,397.12,1
12826,2,1468.12,8
12827,5,430.15,3
12828,2,1018.71,6
12829,322,253.05,3
12830,37,6748.40,7
12831,262,215.05,1
12832,32,383.03,2
12833,145,417.38,1
12834,282,312.38,1
12836,59,2612.86,4
12837,173,134.10,1
12838,33,683.13,2
12839,2,5583.62,16
12840,143,2714.27,6
12841,4,3876.40,26
12842,70,1118.99,2
12843,65,1680.76,9
12844,29,325.96,2
12845,267,354.09,4
12847,22,871.54,1
12849,31,1050.89,2
12851,96,135.18,1
12852,290,299.75,2
12853,107,1881.70,9
12854,78,1289.15,5
12855,372,38.10,1
12856,7,2162.68,8
12857,210,1106.40,2
12863,52,504.20,2
12864,138,147.12,1
12865,26,1548.07,3
12866,283,559.12,1
12867,26,3986.22,10
12868,185,1607.06,6
12870,366,-14.90,1
12871,84,380.64,2
12872,326,599.97,2
12873,282,374.00,1
12875,143,343.23,2
12876,57,2218.02,2
12877,3,1535.77,12
12878,18,841.64,3
12879,44,552.57,4
12881,275,298.00,1
12882,9,1463.04,2
12883,24,703.47,4
12884,88,309.05,1
12885,63,1158.27,4
12886,67,1351.09,3
12888,214,313.77,4
12890,24,380.47,1
12891,185,331.00,3
12893,30,188.14,1
12895,42,347.30,3
12897,204,216.50,2
12901,8,16293.10,36
12902,264,138.68,1
12904,18,509.58,2
12906,11,2919.81,5
12908,58,246.00,4
12909,39,2128.83,8
12910,23,3075.04,8
12912,2,1662.30,5
12913,4,2483.63,5
12915,148,363.65,2
12916,138,2982.35,5
12917,128,594.00,1
12919,8,1301.44,8
12920,17,164.23,1
12921,3,16389.74,50
12922,161,405.38,1
12923,64,176.97,1
12924,88,929.95,5
12925,4,694.05,2
12928,35,2062.70,5
12929,122,105.10,2
12930,78,409.90,4
12931,21,33462.81,20
12933,24,606.28,4
12935,2,2156.45,8
12936,17,1012.90,5
12937,15,1504.27,4
12938,25,114.14,1
12939,64,11581.80,8
12940,46,876.29,4
12942,131,683.90,3
12943,301,-3.75,1
12944,35,604.51,2
12945,288,462.95,1
12947,143,1407.29,11
12948,16,2053.70,8
12949,30,4143.02,10
12950,2,1843.00,3
12951,8,1042.07,8
12952,5,1382.84,5
12953,9,329.85,1
12955,1,4734.26,14
12956,306,108.07,1
12957,4,3979.04,12
12962,7,266.39,2
12963,8,1841.03,9
12965,89,771.91,1
12966,9,160.18,1
12967,3,1194.75,4
12968,112,135.95,1
12970,7,452.24,4
12971,3,10930.26,89
12974,197,144.80,1
12976,211,738.60,1
12977,156,39.24,1
12980,155,7092.06,12
12981,29,372.22,2
12982,239,377.20,2
12984,18,97.50,1
12985,0,1215.62,3
12987,73,545.00,3
12988,292,535.32,1
12989,3,6854.51,19
12990,31,409.50,3
12991,23,503.76,2
12993,23,414.76,4
12994,4,902.22,5
12995,77,200.72,2
12997,22,1197.94,7
12999,196,455.88,3
13000,106,534.85,3
13001,4,9797.92,15
13002,318,120.95,1
13003,105,149.05,3
13004,11,5613.43,22
13005,173,468.95,3
13006,56,81.57,1
13008,323,178.47,2
13011,372,50.55,1
13012,9,1311.62,11
13013,1,4786.99,15
13014,2,3365.43,16
13015,53,3346.28,5
13016,73,789.89,3
13017,7,204.00,1
13018,16,7272.75,29
13021,4,2584.40,12
13023,64,689.90,2
13026,1,936.15,8
13027,113,6912.00,6
13028,22,659.68,3
13029,30,1247.50,3
13030,11,799.48,2
13032,38,996.52,3
13033,357,190.55,1
13034,54,642.77,2
13035,57,886.63,3
13037,138,881.07,3
13038,80,908.46,3
13040,8,676.99,2
13043,253,471.57,2
13044,291,560.47,1
13045,99,305.28,1
13046,30,629.31,2
13047,31,3079.10,18
13048,14,1805.91,5
13049,64,656.68,2
13050,9,5684.61,28
13052,212,348.15,1
13055,64,1201.96,4
13058,24,271.40,3
13059,249,183.40,1
13060,253,307.53,1
13061,72,248.61,1
13062,191,346.98,1
13064,12,1119.49,4
13065,373,205.86,1
13066,24,430.90,3
13067,82,115.46,1
13068,10,344.00,2
13069,0,3717.82,27
13070,192,228.80,1
13072,266,177.15,1
13075,129,919.61,1
13077,1,729.27,4
13078,1,12432.28,43
13079,4,220.10,5
13080,179,58.08,1
13081,1,27964.48,21
13082,126,3595.48,10
13083,4,303.75,2
13085,157,272.38,3
13089,2,57385.88,118
13090,8,8689.39,18
13091,21,319.82,2
13092,70,459.83,6
13093,267,7741.47,13
13094,21,1708.86,16
13095,70,74.40,1
13097,32,5893.32,14
13098,1,28658.88,41
13099,99,207.36,1
13101,234,101.19,1
13102,1,6336.29,27
13103,39,243.94,1
13104,3,1098.48,6
13106,128,59.50,2
13107,44,1524.07,5
13108,372,350.06,1
13109,2,766.84,5
13110,31,1452.87,8
13113,0,10510.00,40
13115,8,2205.63,14
13116,117,485.19,2
13117,21,984.91,8
13118,19,1125.00,7
13120,238,30.60,1
13121,269,254.73,2
13122,94,922.39,2
13124,89,3866.33,3
13126,4,2056.29,10
13127,77,259.17,1
13130,94,64.00,1
13131,23,1039.30,4
13132,261,77.30,1
13133,273,109.80,2
13134,72,1740.63,7
13135,196,3096.00,1
13136,50,2545.38,11
13137,10,3605.08,9
13138,22,962.39,6
13139,16,5055.79,8
13140,108,423.72,3
13141,84,2385.80,6
13142,19,307.09,1
13144,332,110.95,1
13145,39,614.77,5
13146,26,228.91,1
13147,10,712.80,4
13148,29,3348.48,17
13149,14,1676.06,4
13151,203,1250.37,2
13153,5,486.22,1
13154,144,-611.86,1
13155,33,971.76,4
13157,49,1721.57,5
13158,94,1201.06,4
13159,8,1379.75,5
13160,22,91.80,1
13161,313,112.75,1
13162,122,1644.99,5
13165,46,1021.48,2
13166,282,414.70,2
13167,18,791.33,4
13168,36,1310.14,5
13169,63,712.88,2
13170,26,116.01,1
13171,8,426.81,5
13173,4,353.65,2
13174,16,2817.03,3
13176,46,492.84,1
13177,64,282.45,1
13178,26,5725.47,11
13182,45,121.18,1
13183,7,3957.78,9
13184,14,1648.79,12
13185,267,71.40,1
13186,39,1539.69,5
13187,337,236.02,1
13188,11,114.60,1
13189,18,260.68,2
13192,95,911.94,2
13193,61,117.88,1
13194,135,60.70,1
13196,11,1797.78,4
13198,10,3384.09,8
13199,3,9803.96,39
13200,19,870.09,4
13203,9,869.46,4
13207,15,250.26,2
13208,58,1205.90,7
13209,30,5820.16,11
13210,93,353.48,1
13211,10,1197.42,3
13212,9,780.58,4
13213,56,1518.43,6
13216,267,333.74,1
13217,122,133.62,5
13218,127,62.64,1
13220,78,819.29,4
13221,240,847.41,2
13223,200,163.20,2
13224,60,2150.85,3
13225,3,6083.04,8
13226,273,108.21,1
13227,201,257.70,1
13228,81,358.00,1
13229,225,160.95,1
13230,4,2763.41,15
13232,12,1357.60,7
13233,74,605.12,2
13235,211,101.17,2
13236,24,727.27,3
13238,11,680.83,5
13239,261,329.56,1
13240,96,663.65,4
13242,112,270.40,3
13243,203,600.07,1
13244,92,121.74,1
13245,50,430.50,1
13246,18,1922.10,7
13247,17,501.12,4
13248,124,465.68,2
13249,92,711.41,3
13253,156,1030.40,2
13255,3,390.66,3
13256,14,0.00,1
13258,11,698.58,3
13259,61,292.32,1
13260,61,557.62,1
13261,268,944.10,2
13262,263,200.29,1
13263,1,7454.07,35
13265,53,2107.66,5
13266,11,3717.67,19
13267,2,4404.44,27
13268,17,3167.64,15
13269,1,5315.92,17
13270,366,590.00,1
13271,37,178.26,2
13272,31,276.56,2
13273,113,138.98,1
13276,63,590.93,2
13277,15,258.40,4
13278,40,542.73,1
13279,64,126.30,2
13280,122,814.86,3
13282,18,1047.84,6
13283,59,93.66,2
13284,322,196.15,2
13285,23,2709.12,4
13291,155,361.11,1
13292,38,578.94,2
13294,189,873.74,2
13295,359,197.95,2
13296,137,87.40,1
13297,7,2089.85,4
13298,1,360.00,1
13299,268,142.50,1
13300,164,365.29,2
13301,103,618.09,4
13302,155,63.75,1
13304,351,300.42,1
13305,4,2000.86,10
13307,120,15.00,1
13308,22,1367.61,4
13309,7,1456.79,5
13310,8,1083.63,6
13311,4,598.57,2
13313,22,1555.32,5
13314,1,578.66,4
13316,37,5815.49,5
13317,64,2140.07,9
13318,1,640.76,3
13319,5,10664.34,36
13320,70,1491.70,6
13321,72,567.36,2
13322,17,199.48,1
13323,3,787.85,5
13324,32,7072.80,12
13325,81,675.30,1
13327,38,3617.57,9
13328,316,1308.48,1
13329,31,740.40,4
13330,92,1140.93,3
13332,14,350.90,1
13334,82,3536.82,3
13336,77,795.12,1
13338,154,431.82,3
13339,200,860.12,1
13340,45,10736.48,7
13341,260,775.85,1
13343,172,303.93,2
13344,67,2543.72,3
13345,276,377.60,2
13347,70,341.36,1
13348,64,233.76,1
13349,10,247.32,1
13350,16,910.72,3
13351,66,373.94,1
13352,7,389.28,2
13354,71,743.53,1
13355,122,674.70,1
13356,80,768.24,1
13357,257,609.95,1
13358,268,439.03,1
13359,59,431.26,2
13362,3,3085.49,5
13363,17,992.50,2
13364,66,0.00,2
13365,8,2191.22,3
13366,50,56.16,1
13368,256,623.40,2
13369,354,263.75,2
13370,366,721.32,2
13372,89,378.64,1
13373,60,3312.25,3
13375,81,772.90,2
13376,99,1019.76,3
13379,26,572.56,3
13381,21,3626.81,7
13382,280,222.99,1
13384,30,4122.28,9
13385,329,534.57,1
13388,121,627.15,3
13389,11,797.96,3
13390,74,544.08,1
13391,203,59.80,1
13394,1,2312.80,10
13395,185,307.72,1
13396,21,1325.29,4
13397,72,1539.18,6
13398,192,457.34,1
13402,127,621.23,2
13403,17,75.00,1
13404,1,252.49,2
13405,74,572.45,3
13408,1,27487.41,81
13410,8,988.91,7
13411,107,213.55,1
13414,133,1390.50,3
13416,43,712.50,2
13417,4,640.83,2
13418,11,5845.44,23
13419,63,221.06,1
13420,134,140.35,4
13421,40,1848.98,3
13422,51,2601.55,2
13425,108,1624.21,3
13426,0,3550.70,12
13427,19,582.60,3
13428,10,218.47,1
13429,10,1006.80,4
13430,18,648.69,4
13431,67,1269.10,2
13434,74,534.24,2
13435,5,3794.49,9
13436,1,196.89,1
13437,14,3408.06,7
13439,255,283.71,1
13441,91,296.64,1
13447,23,1104.23,4
13448,16,3465.67,10
13449,23,291.88,1
13450,26,2043.72,6
13451,26,2916.45,6
13452,259,590.00,2
13453,165,356.98,2
13455,24,1007.35,4
13456,17,1737.82,7
13458,7,9537.92,22
13460,29,183.44,2
13461,38,1445.00,3
13462,183,143.25,2
13464,58,674.68,1
13466,100,297.95,2
13467,10,1083.71,2
13468,1,5656.75,41
13470,99,165.00,2
13471,1,2531.58,4
13473,60,417.54,3
13474,236,229.59,1
13475,191,1431.78,4
13476,178,1092.77,4
13477,37,1441.53,8
13479,198,291.00,3
13481,45,1776.81,8
13482,232,184.64,1
13483,65,140.34,1
13484,241,313.80,1
13485,233,454.24,1
13486,78,1122.41,3
13487,57,575.40,3
13488,17,8910.61,17
13489,105,449.52,4
13491,51,1215.82,10
13492,136,1269.84,3
13493,275,618.63,2
13494,311,316.26,1
13495,7,1990.12,6
13496,10,617.93,3
13497,282,321.05,3
13499,17,1146.96,7
13500,23,1136.77,4
13501,242,1310.47,2
13502,16,292.00,3
13503,71,216.85,1
13504,64,295.93,1
13505,67,4282.88,8
13506,312,452.82,3
13507,3,2479.16,4
13508,243,110.97,1
13509,8,979.72,7
13510,1,1785.16,5
13512,260,251.21,1
13513,126,205.10,1
13514,73,152.20,1
13515,72,891.12,4
13516,21,1389.41,3
13517,59,2109.07,5
13518,85,659.44,1
13519,50,110.80,2
13520,58,3487.75,8
13521,1,1093.65,3
13522,30,125.80,1
13523,33,3755.38,6
13524,40,680.18,5
13525,14,628.78,2
13527,33,2263.76,8
13529,78,307.76,2
13531,205,483.80,2
13532,33,210.31,1
13533,182,270.79,3
13534,2,5613.08,43
13536,1,3448.29,7
13538,43,1280.85,7
13539,85,605.84,4
13544,39,291.41,2
13546,12,626.99,3
13548,96,682.41,2
13549,25,916.12,8
13551,319,91.80,1
13552,66,3539.53,16
13555,73,4149.28,4
13557,28,584.06,2
13558,5,605.06,4
13560,7,174.37,1
13561,215,141.86,1
13562,81,1799.33,3
13563,84,777.53,2
13564,144,647.74,5
13565,19,240.22,2
13566,40,874.71,2
13568,173,192.85,1
13569,17,373.75,2
13570,243,239.49,1
13571,12,2092.32,12
13572,205,1384.25,1
13573,50,294.40,2
13575,23,732.07,5
13576,10,6703.30,20
13577,25,1658.30,5
13579,14,467.04,2
13581,309,118.00,1
13583,155,781.03,1
13584,306,142.40,1
13587,31,347.00,3
13588,15,2445.12,13
13589,14,379.65,2
13590,11,1976.12,7
13591,64,1117.13,3
13592,35,247.96,4
13593,108,1990.28,6
13594,52,396.97,1
13596,5,697.04,2
13598,47,167.42,2
13599,1,5030.60,33
13600,312,219.52,1
13601,45,693.32,2
13602,64,428.89,1
13603,26,164.34,1
13606,29,280.54,3
13607,40,678.01,1
13610,12,1115.43,9
13611,89,1158.20,4
13614,24,1610.46,4
13615,312,399.99,2
13617,40,544.18,3
13618,173,177.34,1
13621,116,213.85,1
13623,30,672.44,7
13626,252,257.23,1
13627,59,1624.02,7
13629,23,7792.36,11
13630,5,1995.68,11
13631,99,3021.77,12
13632,24,2117.02,6
13634,33,1575.16,5
13635,67,1071.03,1
13636,36,941.62,6
13637,52,810.50,3
13638,15,122.64,1
13639,74,1033.34,1
13642,215,354.80,1
13643,31,519.44,3
13644,8,2597.52,5
13645,120,252.10,1
13647,9,1670.22,5
13649,256,346.60,2
13650,16,1809.34,7
13651,35,94.20,2
13652,45,1095.08,3
13654,43,2707.33,6
13655,114,932.97,2
13656,164,379.65,2
13657,10,382.14,2
13658,9,2421.47,7
13659,197,1550.85,3
13662,85,879.08,7
13663,179,189.47,1
13666,60,84.65,3
13667,149,305.02,1
13668,2,6216.07,29
13669,50,218.55,2
13670,75,349.70,1
13672,301,-71.46,6
13673,18,396.92,2
13675,151,486.82,2
13678,151,232.60,1
13680,1,2202.31,5
13681,17,827.83,4
13682,187,59.50,1
13684,285,64.23,2
13685,2,3119.44,7
13686,182,72.00,1
13689,63,910.00,1
13690,59,172.25,1
13692,24,1466.87,5
13693,325,-32.00,2
13694,3,62653.10,60
13695,31,2504.13,15
13697,38,151.30,1
13699,155,308.58,1
13700,26,2265.12,10
13703,318,99.50,1
13704,5,2295.31,10
13705,7,711.86,3
13706,302,330.79,1
13707,267,806.41,2
13708,271,296.88,1
13709,3,6249.11,17
13710,31,180.48,1
13711,218,252.06,2
13712,246,228.84,1
13715,281,1053.94,8
13716,269,138.28,1
13717,32,1432.26,7
13718,246,306.55,2
13719,15,1041.68,5
13720,116,799.90,4
13721,36,524.14,1
13722,120,2369.16,4
13723,217,199.85,1
13725,49,1809.81,11
13726,38,1079.66,2
13727,28,333.48,2
13728,36,1016.14,6
13730,135,752.60,2
13731,219,610.59,2
13732,28,491.86,1
13735,24,2766.18,8
13736,5,724.00,3
13737,200,339.60,1
13739,18,216.90,1
13740,240,350.75,1
13741,71,666.33,4
13742,16,3102.42,14
13743,2,1340.15,8
13744,95,1156.36,2
13745,151,291.54,2
13747,373,79.60,1
13748,95,948.25,5
13750,53,1647.26,5
13751,288,296.25,1
13752,124,1186.28,6
13753,287,741.26,1
13754,151,282.60,2
13755,3,2154.68,10
13756,2,5145.12,15
13758,11,3190.55,7
13759,33,659.41,2
13760,54,286.79,2
13761,50,1070.65,2
13762,204,0.00,2
13763,63,1689.46,3
13764,70,1521.76,3
13767,2,16945.71,52
13769,2,2771.87,16
13771,64,2631.70,5
13772,33,1132.13,3
13774,81,345.00,1
13777,0,25748.35,41
13778,103,178.70,1
13780,7,360.01,2
13781,250,127.84,1
13782,12,912.00,6
13784,9,2462.79,11
13786,367,230.40,1
13787,75,309.04,2
13790,4,348.80,1
13791,43,1047.68,3
13792,66,195.55,2
13798,1,36351.42,63
13799,116,688.86,2
13800,309,558.32,1
13801,66,324.80,1
13802,138,3906.27,6
13803,255,277.07,1
13804,30,2635.79,7
13805,52,924.60,2
13806,63,256.38,1
13807,367,112.60,1
13808,5,1747.66,5
13809,305,155.05,1
13810,28,899.51,4
13811,183,591.75,4
13812,42,539.00,3
13813,39,1353.41,5
13814,56,1562.12,3
13815,22,4014.91,5
13816,23,555.04,4
13817,29,382.98,2
13819,301,1140.35,3
13821,144,385.64,2
13822,5,632.00,2
13823,18,957.66,2
13824,32,1698.94,5
13826,158,174.65,2
13827,57,412.05,3
13828,22,209.49,1
13829,359,-102.00,1
13831,16,2202.99,6
13832,17,40.95,2
13833,159,384.80,1
13835,25,834.57,4
13837,211,271.24,2
13838,5,691.73,4
13841,252,85.00,1
13842,58,3385.62,9
13844,11,361.62,1
13845,64,312.98,1
13846,24,847.61,4
13848,92,1255.00,3
13849,51,1537.95,2
13850,88,1586.81,2
13851,95,2651.46,3
13853,8,1056.94,2
13854,8,8025.02,29
13856,168,363.40,5
13858,57,216.17,1
13859,326,201.16,1
13860,1,1240.00,6
13862,18,2187.31,10
13863,245,299.56,2
13865,58,501.56,4
13866,74,145.67,1
13867,31,1015.29,3
13868,7,3192.54,2
13869,123,3104.95,4
13870,2,2751.25,10
13871,22,6389.80,14
13873,119,381.70,4
13874,358,540.45,1
13875,53,1786.79,5
13876,63,122.70,1
13877,86,117.24,1
13878,54,1281.53,1
13880,21,3219.77,13
13881,3,16989.52,22
13882,2,1131.28,6
13883,1,2538.75,9
13884,7,781.30,6
13885,189,506.80,2
13886,71,243.56,1
13887,204,349.55,1
13888,119,605.63,2
13889,92,416.90,1
13890,1,1860.86,14
13892,26,632.97,4
13893,297,821.10,1
13894,22,535.97,5
13895,21,2588.12,5
13897,50,311.16,1
13898,325,155.93,1
13899,16,388.52,2
13900,183,740.95,3
13901,72,2867.20,5
13904,37,332.64,2
13908,79,2347.05,5
13911,57,2580.91,9
13914,3,613.95,3
13917,49,272.04,2
13918,49,1212.84,2
13919,53,350.16,3
13922,351,172.25,1
13923,53,351.13,1
13924,1,1682.08,11
13925,36,616.65,6
13926,23,223.85,1
13927,74,348.99,1
13928,10,464.57,4
13929,169,802.85,3
13930,57,337.34,2
13931,85,1230.93,3
13932,294,307.40,1
13933,109,608.79,2
13934,263,922.10,1
13936,171,361.28,2
13937,169,158.85,1
13938,35,71.66,1
13939,23,556.75,4
13940,17,839.14,4
13941,21,4912.41,7
13946,79,561.57,3
13947,65,90.60,1
13948,360,102.00,1
13949,2,2427.32,6
13950,11,728.56,5
13951,176,674.45,3
13952,211,3246.09,3
13953,7,3515.68,7
13954,1,378.59,3
13955,154,322.96,2
13956,5,1026.42,5
13958,372,-102.45,1
13959,79,598.20,3
13960,21,230.22,2
13962,21,169.55,2
13963,308,664.54,4
13967,145,80.70,1
13969,7,8986.69,20
13971,8,2702.22,11
13972,70,190.25,2
13973,287,264.70,1
13974,49,413.59,1
13975,31,2503.23,7
13976,206,357.98,1
13978,14,196.79,2
13979,73,869.87,1
13980,60,200.14,1
13982,39,1861.11,5
13983,29,2590.46,13
13984,26,488.03,6
13985,4,7024.53,16
13986,17,320.46,1
13988,19,4098.80,9
